Sequence_ID,EC_Number,PDB_ID,Chain_ID,PDB_Chain,Query_PDB,Template_PDB,RMSD,Aligned_Atoms,Nucleotide_Found,PNG_File,PDB_File
A0AJE1,3.6.1.15,7d8i,A,7d8iA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/A0AJE1_3.6.1.15.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_7d8i_A.pdb,0.377,1045,False,A0AJE1_3.6.1.15_vs_7d8i_A_visualization.png,A0AJE1_3.6.1.15_vs_7d8i_A_aligned.pdb
A0R9G2,3.6.1.15,7d8i,A,7d8iA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/A0R9G2_3.6.1.15.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_7d8i_A.pdb,0.334,1036,False,A0R9G2_3.6.1.15_vs_7d8i_A_visualization.png,A0R9G2_3.6.1.15_vs_7d8i_A_aligned.pdb
F8D4I6,2.7.1.239,2jg1,C,2jg1C,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/F8D4I6_2.7.1.239.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_2jg1_C.pdb,2.721,850,False,F8D4I6_2.7.1.239_vs_2jg1_C_visualization.png,F8D4I6_2.7.1.239_vs_2jg1_C_aligned.pdb
P0AAF6,7.4.2.1,121p,A,121pA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/P0AAF6_7.4.2.1.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_121p_A.pdb,14.957,811,False,P0AAF6_7.4.2.1_vs_121p_A_visualization.png,P0AAF6_7.4.2.1_vs_121p_A_aligned.pdb
P02915,7.4.2.1,121p,A,121pA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/P02915_7.4.2.1.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_121p_A.pdb,10.356,271,False,P02915_7.4.2.1_vs_121p_A_visualization.png,P02915_7.4.2.1_vs_121p_A_aligned.pdb
P0AAF7,7.4.2.1,121p,A,121pA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/P0AAF7_7.4.2.1.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_121p_A.pdb,14.867,811,False,P0AAF7_7.4.2.1_vs_121p_A_visualization.png,P0AAF7_7.4.2.1_vs_121p_A_aligned.pdb
P0AAF8,7.4.2.1,121p,A,121pA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/P0AAF8_7.4.2.1.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_121p_A.pdb,14.957,811,False,P0AAF8_7.4.2.1_vs_121p_A_visualization.png,P0AAF8_7.4.2.1_vs_121p_A_aligned.pdb
P07109,7.4.2.1,121p,A,121pA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/P07109_7.4.2.1.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_121p_A.pdb,10.306,273,False,P07109_7.4.2.1_vs_121p_A_visualization.png,P07109_7.4.2.1_vs_121p_A_aligned.pdb
O22436,6.6.1.1,121p,A,121pA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/O22436_6.6.1.1.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_121p_A.pdb,18.505,727,False,O22436_6.6.1.1_vs_121p_A_visualization.png,O22436_6.6.1.1_vs_121p_A_aligned.pdb
A2XIK9,6.6.1.1,121p,A,121pA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/A2XIK9_6.6.1.1.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_121p_A.pdb,18.523,751,False,A2XIK9_6.6.1.1_vs_121p_A_visualization.png,A2XIK9_6.6.1.1_vs_121p_A_aligned.pdb
A0PPE8,6.1.1.21,6aaz,A,6aazA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/A0PPE8_6.1.1.21.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_6aaz_A.pdb,21.347,1301,True,A0PPE8_6.1.1.21_vs_6aaz_A_visualization.png,A0PPE8_6.1.1.21_vs_6aaz_A_aligned.pdb
A0KUJ6,6.1.1.21,6aaz,A,6aazA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/A0KUJ6_6.1.1.21.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_6aaz_A.pdb,2.225,576,True,A0KUJ6_6.1.1.21_vs_6aaz_A_visualization.png,A0KUJ6_6.1.1.21_vs_6aaz_A_aligned.pdb
A0M0E2,6.1.1.21,6aaz,A,6aazA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/A0M0E2_6.1.1.21.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_6aaz_A.pdb,21.502,1412,True,A0M0E2_6.1.1.21_vs_6aaz_A_visualization.png,A0M0E2_6.1.1.21_vs_6aaz_A_aligned.pdb
A0KJ45,6.1.1.21,6aaz,A,6aazA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/A0KJ45_6.1.1.21.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_6aaz_A.pdb,24.307,1204,True,A0KJ45_6.1.1.21_vs_6aaz_A_visualization.png,A0KJ45_6.1.1.21_vs_6aaz_A_aligned.pdb
A0A381HBN1,2.7.7.65,6p1p,A,6p1pA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/A0A381HBN1_2.7.7.65.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_6p1p_A.pdb,17.071,673,False,A0A381HBN1_2.7.7.65_vs_6p1p_A_visualization.png,A0A381HBN1_2.7.7.65_vs_6p1p_A_aligned.pdb
A0A0H3AFM6,2.7.7.65,1wc6,B,1wc6B,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/A0A0H3AFM6_2.7.7.65.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_1wc6_B.pdb,20.301,1050,False,A0A0H3AFM6_2.7.7.65_vs_1wc6_B_visualization.png,A0A0H3AFM6_2.7.7.65_vs_1wc6_B_aligned.pdb
A0A150XSC5,2.7.7.65,6p1p,A,6p1pA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/A0A150XSC5_2.7.7.65.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_6p1p_A.pdb,16.065,843,False,A0A150XSC5_2.7.7.65_vs_6p1p_A_visualization.png,A0A150XSC5_2.7.7.65_vs_6p1p_A_aligned.pdb
A0A0H2Z7X0,2.7.7.65,1wc6,B,1wc6B,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/A0A0H2Z7X0_2.7.7.65.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_1wc6_B.pdb,6.805,612,False,A0A0H2Z7X0_2.7.7.65_vs_1wc6_B_visualization.png,A0A0H2Z7X0_2.7.7.65_vs_1wc6_B_aligned.pdb
A0LUE6,7.6.2.11,121p,A,121pA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/A0LUE6_7.6.2.11.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_121p_A.pdb,8.151,200,False,A0LUE6_7.6.2.11_vs_121p_A_visualization.png,A0LUE6_7.6.2.11_vs_121p_A_aligned.pdb
A1AA20,7.6.2.11,121p,A,121pA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/A1AA20_7.6.2.11.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_121p_A.pdb,17.246,624,False,A1AA20_7.6.2.11_vs_121p_A_visualization.png,A1AA20_7.6.2.11_vs_121p_A_aligned.pdb
A0PY57,7.6.2.11,121p,A,121pA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/A0PY57_7.6.2.11.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_121p_A.pdb,14.507,499,False,A0PY57_7.6.2.11_vs_121p_A_visualization.png,A0PY57_7.6.2.11_vs_121p_A_aligned.pdb
A0AGP9,7.6.2.11,121p,A,121pA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/A0AGP9_7.6.2.11.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_121p_A.pdb,9.947,522,False,A0AGP9_7.6.2.11_vs_121p_A_visualization.png,A0AGP9_7.6.2.11_vs_121p_A_aligned.pdb
A0RBB0,7.6.2.11,121p,A,121pA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/A0RBB0_7.6.2.11.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_121p_A.pdb,12.631,756,False,A0RBB0_7.6.2.11_vs_121p_A_visualization.png,A0RBB0_7.6.2.11_vs_121p_A_aligned.pdb
P31134,7.6.2.16,121p,A,121pA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/P31134_7.6.2.16.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_121p_A.pdb,17.844,561,False,P31134_7.6.2.16_vs_121p_A_visualization.png,P31134_7.6.2.16_vs_121p_A_aligned.pdb
A7MVV6,7.6.2.8,121p,A,121pA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/A7MVV6_7.6.2.8.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_121p_A.pdb,10.823,582,False,A7MVV6_7.6.2.8_vs_121p_A_visualization.png,A7MVV6_7.6.2.8_vs_121p_A_aligned.pdb
A5F1V0,7.6.2.8,121p,A,121pA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/A5F1V0_7.6.2.8.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_121p_A.pdb,7.757,200,False,A5F1V0_7.6.2.8_vs_121p_A_visualization.png,A5F1V0_7.6.2.8_vs_121p_A_aligned.pdb
A1ABP5,7.6.2.8,121p,A,121pA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/A1ABP5_7.6.2.8.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_121p_A.pdb,13.446,488,False,A1ABP5_7.6.2.8_vs_121p_A_visualization.png,A1ABP5_7.6.2.8_vs_121p_A_aligned.pdb
A7ZMH7,7.6.2.8,121p,A,121pA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/A7ZMH7_7.6.2.8.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_121p_A.pdb,13.482,492,False,A7ZMH7_7.6.2.8_vs_121p_A_visualization.png,A7ZMH7_7.6.2.8_vs_121p_A_aligned.pdb
A1JPQ1,7.6.2.8,121p,A,121pA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/A1JPQ1_7.6.2.8.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_121p_A.pdb,0.589,80,False,A1JPQ1_7.6.2.8_vs_121p_A_visualization.png,A1JPQ1_7.6.2.8_vs_121p_A_aligned.pdb
Q09765,6.2.1.64,6h77,A,6h77A,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/Q09765_6.2.1.64.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_6h77_A.pdb,1.920,594,True,Q09765_6.2.1.64_vs_6h77_A_visualization.png,Q09765_6.2.1.64_vs_6h77_A_aligned.pdb
Q19360,6.2.1.64,6h77,A,6h77A,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/Q19360_6.2.1.64.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_6h77_A.pdb,1.393,945,True,Q19360_6.2.1.64_vs_6h77_A_visualization.png,Q19360_6.2.1.64_vs_6h77_A_aligned.pdb
O65041,6.2.1.64,6h77,A,6h77A,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/O65041_6.2.1.64.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_6h77_A.pdb,1.604,641,True,O65041_6.2.1.64_vs_6h77_A_visualization.png,O65041_6.2.1.64_vs_6h77_A_aligned.pdb
Q54QG9,6.2.1.64,6h77,A,6h77A,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/Q54QG9_6.2.1.64.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_6h77_A.pdb,11.328,991,True,Q54QG9_6.2.1.64_vs_6h77_A_visualization.png,Q54QG9_6.2.1.64_vs_6h77_A_aligned.pdb
Q5R4A0,6.2.1.64,6h77,A,6h77A,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/Q5R4A0_6.2.1.64.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_6h77_A.pdb,2.364,1112,True,Q5R4A0_6.2.1.64_vs_6h77_A_visualization.png,Q5R4A0_6.2.1.64_vs_6h77_A_aligned.pdb
A2RI77,7.4.2.9,121p,A,121pA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/A2RI77_7.4.2.9.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_121p_A.pdb,11.745,588,False,A2RI77_7.4.2.9_vs_121p_A_visualization.png,A2RI77_7.4.2.9_vs_121p_A_aligned.pdb
A0A0H2ZGN6,7.4.2.9,121p,A,121pA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/A0A0H2ZGN6_7.4.2.9.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_121p_A.pdb,11.322,247,False,A0A0H2ZGN6_7.4.2.9_vs_121p_A_visualization.png,A0A0H2ZGN6_7.4.2.9_vs_121p_A_aligned.pdb
P0AAG0,7.4.2.9,121p,A,121pA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/P0AAG0_7.4.2.9.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_121p_A.pdb,13.627,646,False,P0AAG0_7.4.2.9_vs_121p_A_visualization.png,P0AAG0_7.4.2.9_vs_121p_A_aligned.pdb
A0A0H2ZH52,7.4.2.9,121p,A,121pA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/A0A0H2ZH52_7.4.2.9.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_121p_A.pdb,12.293,554,False,A0A0H2ZH52_7.4.2.9_vs_121p_A_visualization.png,A0A0H2ZH52_7.4.2.9_vs_121p_A_aligned.pdb
A2RI78,7.4.2.9,121p,A,121pA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/A2RI78_7.4.2.9.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_121p_A.pdb,16.040,742,False,A2RI78_7.4.2.9_vs_121p_A_visualization.png,A2RI78_7.4.2.9_vs_121p_A_aligned.pdb
A1SWH9,7.6.2.10,121p,A,121pA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/A1SWH9_7.6.2.10.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_121p_A.pdb,11.677,573,False,A1SWH9_7.6.2.10_vs_121p_A_visualization.png,A1SWH9_7.6.2.10_vs_121p_A_aligned.pdb
A1B9Q7,7.6.2.10,121p,A,121pA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/A1B9Q7_7.6.2.10.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_121p_A.pdb,7.474,195,False,A1B9Q7_7.6.2.10_vs_121p_A_visualization.png,A1B9Q7_7.6.2.10_vs_121p_A_aligned.pdb
A1AGY1,7.6.2.10,121p,A,121pA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/A1AGY1_7.6.2.10.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_121p_A.pdb,0.600,71,False,A1AGY1_7.6.2.10_vs_121p_A_visualization.png,A1AGY1_7.6.2.10_vs_121p_A_aligned.pdb
A1JIE0,7.6.2.10,121p,A,121pA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/A1JIE0_7.6.2.10.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_121p_A.pdb,13.949,570,False,A1JIE0_7.6.2.10_vs_121p_A_visualization.png,A1JIE0_7.6.2.10_vs_121p_A_aligned.pdb
A0K3S5,7.6.2.10,121p,A,121pA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/A0K3S5_7.6.2.10.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_121p_A.pdb,6.183,187,False,A0K3S5_7.6.2.10_vs_121p_A_visualization.png,A0K3S5_7.6.2.10_vs_121p_A_aligned.pdb
A0AHW2,6.1.1.20,6aaz,A,6aazA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/A0AHW2_6.1.1.20.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_6aaz_A.pdb,2.807,1000,True,A0AHW2_6.1.1.20_vs_6aaz_A_visualization.png,A0AHW2_6.1.1.20_vs_6aaz_A_aligned.pdb
A0L4K0,6.1.1.20,6aaz,A,6aazA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/A0L4K0_6.1.1.20.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_6aaz_A.pdb,4.757,985,True,A0L4K0_6.1.1.20_vs_6aaz_A_visualization.png,A0L4K0_6.1.1.20_vs_6aaz_A_aligned.pdb
A0LFC6,6.1.1.20,6aaz,A,6aazA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/A0LFC6_6.1.1.20.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_6aaz_A.pdb,2.865,999,True,A0LFC6_6.1.1.20_vs_6aaz_A_visualization.png,A0LFC6_6.1.1.20_vs_6aaz_A_aligned.pdb
A0KKP5,6.1.1.20,6aaz,A,6aazA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/A0KKP5_6.1.1.20.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_6aaz_A.pdb,4.110,930,True,A0KKP5_6.1.1.20_vs_6aaz_A_visualization.png,A0KKP5_6.1.1.20_vs_6aaz_A_aligned.pdb
A0A0H3GPN8,2.7.13.3,1i58,A,1i58A,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/A0A0H3GPN8_2.7.13.3.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_1i58_A.pdb,8.485,683,False,A0A0H3GPN8_2.7.13.3_vs_1i58_A_visualization.png,A0A0H3GPN8_2.7.13.3_vs_1i58_A_aligned.pdb
A0A4P7TSF2,2.7.13.3,1i58,A,1i58A,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/A0A4P7TSF2_2.7.13.3.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_1i58_A.pdb,12.544,780,False,A0A4P7TSF2_2.7.13.3_vs_1i58_A_visualization.png,A0A4P7TSF2_2.7.13.3_vs_1i58_A_aligned.pdb
A0A0H2ZM62,2.7.13.3,1i58,A,1i58A,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/A0A0H2ZM62_2.7.13.3.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_1i58_A.pdb,29.991,1086,False,A0A0H2ZM62_2.7.13.3_vs_1i58_A_visualization.png,A0A0H2ZM62_2.7.13.3_vs_1i58_A_aligned.pdb
A0A0H3NIL4,2.7.13.3,1i58,A,1i58A,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/A0A0H3NIL4_2.7.13.3.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_1i58_A.pdb,12.806,758,False,A0A0H3NIL4_2.7.13.3_vs_1i58_A_visualization.png,A0A0H3NIL4_2.7.13.3_vs_1i58_A_aligned.pdb
D4GP38,7.5.2.13,121p,A,121pA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/D4GP38_7.5.2.13.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_121p_A.pdb,13.526,915,False,D4GP38_7.5.2.13_vs_121p_A_visualization.png,D4GP38_7.5.2.13_vs_121p_A_aligned.pdb
P0DTT6,7.5.2.13,121p,A,121pA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/P0DTT6_7.5.2.13.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_121p_A.pdb,14.952,879,False,P0DTT6_7.5.2.13_vs_121p_A_visualization.png,P0DTT6_7.5.2.13_vs_121p_A_aligned.pdb
A0JVK3,3.6.1.31,6sqz,D,6sqzD,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/A0JVK3_3.6.1.31.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_6sqz_D.pdb,0.933,145,False,A0JVK3_3.6.1.31_vs_6sqz_D_visualization.png,A0JVK3_3.6.1.31_vs_6sqz_D_aligned.pdb
A0K3W0,3.6.1.31,6sqz,D,6sqzD,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/A0K3W0_3.6.1.31.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_6sqz_D.pdb,4.928,490,False,A0K3W0_3.6.1.31_vs_6sqz_D_visualization.png,A0K3W0_3.6.1.31_vs_6sqz_D_aligned.pdb
A0AG13,3.6.1.31,6sqz,D,6sqzD,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/A0AG13_3.6.1.31.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_6sqz_D.pdb,2.249,178,False,A0AG13_3.6.1.31_vs_6sqz_D_visualization.png,A0AG13_3.6.1.31_vs_6sqz_D_aligned.pdb
A0LCF5,3.6.1.31,6sqz,D,6sqzD,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/A0LCF5_3.6.1.31.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_6sqz_D.pdb,6.333,409,False,A0LCF5_3.6.1.31_vs_6sqz_D_visualization.png,A0LCF5_3.6.1.31_vs_6sqz_D_aligned.pdb
A0PQV0,3.6.1.31,6sqz,D,6sqzD,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/A0PQV0_3.6.1.31.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_6sqz_D.pdb,6.505,396,False,A0PQV0_3.6.1.31_vs_6sqz_D_visualization.png,A0PQV0_3.6.1.31_vs_6sqz_D_aligned.pdb
A0A061I403,2.7.7.108,3zcb,A,3zcbA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/A0A061I403_2.7.7.108.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_3zcb_A.pdb,4.375,705,True,A0A061I403_2.7.7.108_vs_3zcb_A_visualization.png,A0A061I403_2.7.7.108_vs_3zcb_A_aligned.pdb
A0A0B0QJN8,2.7.7.108,6p1p,A,6p1pA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/A0A0B0QJN8_2.7.7.108.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_6p1p_A.pdb,7.424,249,False,A0A0B0QJN8_2.7.7.108_vs_6p1p_A_visualization.png,A0A0B0QJN8_2.7.7.108_vs_6p1p_A_aligned.pdb
A2RD86,3.6.1.6,7d8i,A,7d8iA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/A2RD86_3.6.1.6.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_7d8i_A.pdb,0.659,1122,False,A2RD86_3.6.1.6_vs_7d8i_A_visualization.png,A2RD86_3.6.1.6_vs_7d8i_A_aligned.pdb
A0AJE1,3.6.1.6,7d8i,A,7d8iA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/A0AJE1_3.6.1.6.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_7d8i_A.pdb,0.377,1045,False,A0AJE1_3.6.1.6_vs_7d8i_A_visualization.png,A0AJE1_3.6.1.6_vs_7d8i_A_aligned.pdb
A0R9G2,3.6.1.6,7d8i,A,7d8iA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/A0R9G2_3.6.1.6.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_7d8i_A.pdb,0.334,1036,False,A0R9G2_3.6.1.6_vs_7d8i_A_visualization.png,A0R9G2_3.6.1.6_vs_7d8i_A_aligned.pdb
A3CPV9,3.6.1.6,7d8i,A,7d8iA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/A3CPV9_3.6.1.6.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_7d8i_A.pdb,0.480,1041,False,A3CPV9_3.6.1.6_vs_7d8i_A_visualization.png,A3CPV9_3.6.1.6_vs_7d8i_A_aligned.pdb
